comment,is_blocker
"Andrew Smith: Saya rencana hari ini, jadi pekerjaan tertunda untuk saat ini.",False
Brendan: planned for today.,False
"Lindsey Simmons: Karena sudah selesai, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"Mark Maddox: Saya melanjutkan tugas, jadi pekerjaan tertunda untuk saat ini.",False
"Elizabeth Matthews: Karena pipeline gagal, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Carl Rubio: Karena belum ada respon, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Travis Newman: Saya belum ada respon, jadi pekerjaan tertunda untuk saat ini.",True
"Candice Butler: Karena melanjutkan tugas, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",False
"James Bailey: Karena server down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
William Allen: rencana hari ini.,False
"Tracy: I'm planned for today, so the task is currently blocked.",False
"Teresa Johnson: Karena pipeline gagal, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
dependensi belum tersdeia.,True
"Emily Cherry: Saya server down, jadi pekerjaan tertunda untuk saat ini.",True
Chad Scott: pipeline gagal.,True
"Heather Wolf: Saya rencana hari ini, jadi pekerjaan tertunda untuk saat ini.",False
"Amy Sandoval: Saya sedang dikerjakan, jadi pekerjaan tertunda untuk saat ini.",False
Jose: working fine.,False
Scott Williams: tidak ada kendala.,False
"Jonathan Glover: Saya akses ditolak, jadi pekerjaan tertunda untuk saat ini.",True
"Justin Walker: Karena masalah credential, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
"Karena sprint berjalan lancar, saat ini saya tidak bisa melanjutkan task ini. Sudah cob abeberapa solusi tapi belum berhasil.",False
"Karena esrver down, saat ini saya tidak bisa melanjutkan task ini. Sudah coba beberapa solusi tapi belum berhasil.",True
